vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.001;0.4500525396058491;0.3832;0.6522;0.7989730029203987;0.0;0.8231;1056
0.001;0.4531487277847833;0.3664;0.6534;0.7757573164708825;0.0;0.81;961
0.001;0.4477115901184758;0.3872;0.651;0.7789773089483588;0.0;0.8144;979
0.001;0.44826539990521613;0.3736;0.6508;0.7859511141403267;0.0;0.8123;1005
0.001;0.4486777789691205;0.3752;0.6513;0.7900768266319156;0.0;0.8206;1051
0.001;0.44608444968633737;0.3944;0.6501;0.7981987183516761;0.0;0.8272;1090
0.001;0.4458196898016246;0.3936;0.6492;0.7878177737336055;0.0;0.8216;1047
0.001;0.44853206425403225;0.3712;0.6516;0.7779273137921986;0.0;0.8153;1008
0.001;0.4563953872894797;0.3608;0.6566;0.78309397599576;0.0;0.8172;992
0.001;0.4533653943631574;0.3756;0.6544;0.7801092146264629;0.0;0.821;937
0.001;0.44792682728250527;0.3764;0.6525;0.7742349357644899;0.0;0.8111;996
0.001;0.45280920298756067;0.3708;0.6531;0.7971239530459222;0.0;0.8252;1049
0.001;0.4464754020687455;0.3832;0.6507;0.7856963543877972;0.0;0.8201;1008
0.001;0.44965539799803783;0.378;0.6526;0.7985763388893211;0.0;0.8251;988
0.001;0.44020303018038615;0.3972;0.6482;0.764485428103295;0.0;0.8075;983
0.001;0.45395539133336277;0.3572;0.654;0.7825877808406186;0.0;0.815;1006


0.006022346368715084;0.4438206444451838;0.3916;0.6501;0.7986977647267731;0.0;0.8174;1035
0.006022346368715084;0.4564111017905622;0.356;0.6564;0.7819635013339861;0.0;0.8102;983
0.006022346368715084;0.44375588464261206;0.3804;0.6497;0.8044839418886446;0.0;0.8247;1067
0.006022346368715084;0.4476634944800022;0.3804;0.6506;0.7886306337031993;0.0;0.8152;976
0.006022346368715084;0.4472463541776593;0.3876;0.6507;0.800138232085058;0.0;0.8263;1018
0.006022346368715084;0.4480811140019334;0.3708;0.6516;0.7793639711115485;0.0;0.8156;992
0.006022346368715084;0.44041922065939654;0.3928;0.65;0.7817863556449085;0.0;0.8129;1050
0.006022346368715084;0.45391443834480305;0.3576;0.6552;0.7908334854878629;0.0;0.8184;1005
0.006022346368715084;0.45187348858005133;0.3696;0.6541;0.7793244547337372;0.0;0.8083;996
0.006022346368715084;0.4567082447225788;0.3644;0.655;0.7935401464920037;0.0;0.8264;996
0.006022346368715084;0.4576577681055607;0.3544;0.6564;0.8001687142626861;0.0;0.8281;1015
0.006022346368715084;0.4550063419933929;0.3712;0.6543;0.7984334749065318;0.0;0.8232;1031
0.006022346368715084;0.4463358791219116;0.3724;0.6519;0.7808273099421995;0.0;0.8152;987
0.006022346368715084;0.444155406346036;0.3892;0.6502;0.8014687111833256;0.0;0.8238;1049
0.006022346368715084;0.45147110892729797;0.368;0.6529;0.7804015999835086;0.0;0.8107;1019
0.006022346368715084;0.4515049196564159;0.3756;0.6536;0.7900577746837549;0.0;0.8198;1024
0.006022346368715084;0.45061158496888293;0.3764;0.6524;0.775554938209386;0.0;0.8115;948
0.006022346368715084;0.4506601578944106;0.366;0.6511;0.7933744358629289;0.0;0.8199;965
0.006022346368715084;0.45755919602546646;0.356;0.656;0.7870639666766164;0.0;0.8168;990
